2004,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,90,78,48,69,22,93,49,89,72,81,91,63
2,77,7,68,78,17,9,67,60,32,73,4,0
3,87,48,90,18,4,43,67,54,6,74,45,28
4,99,84,62,69,67,27,13,46,58,24,28,90
5,36,53,77,38,7,22,73,89,13,11,76,73
6,37,20,17,23,90,25,15,73,52,79,51,87
7,57,60,58,42,83,94,43,21,46,6,21,67
8,28,31,60,20,13,94,55,14,22,99,69,93
9,69,60,56,77,53,82,81,27,96,2,81,53
10,19,7,51,32,63,91,51,74,44,8,48,41
11,98,31,95,42,77,31,70,72,62,32,69,15
12,92,89,35,34,69,86,79,36,14,25,73,85
13,58,31,98,5,3,90,1,34,65,77,81,5
14,91,75,98,12,78,83,78,19,0,68,73,57
15,8,61,68,29,49,64,13,97,83,44,41,78
16,97,52,25,4,77,49,1,49,20,99,83,61
17,63,91,95,42,93,97,35,83,74,15,82,7
18,50,38,37,95,51,94,46,7,91,44,10,13
19,14,16,11,72,40,58,62,0,62,94,89,59
20,49,99,52,13,81,69,4,91,64,48,24,55
21,24,84,23,94,18,62,80,24,65,15,76,49
22,13,2,74,1,61,63,3,70,51,79,57,7
23,28,88,48,54,75,82,26,79,62,39,62,48
24,54,61,32,81,54,53,60,55,37,27,21,39
25,90,97,72,42,15,61,85,85,80,87,8,85
26,24,99,90,5,74,33,51,22,96,3,21,28
27,99,53,35,65,33,94,59,12,29,74,61,65
28,59,4,47,81,89,63,8,49,69,37,4,32
29,91,XX,87,87,44,63,70,32,25,7,76,15
30,93,XX,47,XX,20,XX,54,82,XX,36,XX,17
