2014,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,22,64,45,81,29,48,22,46,97,79,32,26
2,98,73,51,55,44,23,78,59,23,13,25,90
3,52,60,16,40,93,20,67,64,59,84,76,2
4,94,30,23,93,31,1,65,39,8,34,61,45
5,8,17,51,92,31,75,70,50,40,73,9,88
6,8,9,53,53,67,14,38,54,80,61,56,70
7,56,37,44,85,95,57,88,7,71,79,8,27
8,46,71,44,28,60,4,26,85,7,93,78,34
9,97,22,77,69,45,8,30,84,66,52,9,76
10,42,6,87,20,79,39,23,69,95,85,4,32
11,27,95,58,28,4,91,83,65,77,21,28,51
12,91,86,18,69,2,59,23,15,68,61,27,3
13,98,4,84,37,55,81,65,73,58,35,82,52
14,74,38,25,79,31,46,81,71,50,34,36,3
15,13,91,68,40,53,73,38,63,66,71,3,29
16,97,15,25,66,39,7,74,77,93,34,64,23
17,98,94,53,88,39,82,43,20,37,1,26,41
18,95,51,80,13,32,79,1,61,94,94,74,89
19,74,64,61,40,38,51,26,30,3,38,12,14
20,55,31,14,78,13,22,9,7,82,91,90,59
21,62,44,62,31,29,1,70,71,52,41,36,82
22,64,52,98,23,49,80,34,76,79,20,74,86
23,29,74,48,73,10,13,4,63,8,17,80,16
24,16,2,98,67,23,30,59,64,85,95,6,85
25,63,83,11,58,90,44,79,63,22,79,46,85
26,17,32,78,64,11,36,1,58,42,68,67,75
27,46,75,71,13,57,14,59,61,91,91,96,46
28,23,XX,45,12,83,82,45,27,95,64,70,1
29,62,XX,77,47,90,54,24,11,71,67,16,18
30,10,XX,82,XX,47,XX,35,44,XX,28,XX,45
