2003,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,76,76,41,51,99,37,36,86,17,43,95,3
2,30,9,82,16,96,59,22,98,93,29,40,28
3,32,59,21,96,72,88,31,60,45,95,97,62
4,70,78,0,91,33,70,5,18,45,96,86,20
5,60,83,78,88,87,84,66,30,8,45,26,14
6,25,92,67,86,38,58,1,41,18,13,23,20
7,93,61,99,20,95,83,1,36,68,1,61,92
8,6,71,8,73,34,52,42,43,47,89,86,20
9,4,41,87,10,72,3,19,15,21,38,39,47
10,43,21,95,18,98,83,42,24,58,43,1,54
11,86,93,31,82,28,73,82,48,74,40,16,87
12,22,21,46,60,14,76,26,11,17,9,43,64
13,85,5,25,3,92,52,74,31,42,51,29,67
14,75,47,24,72,79,37,66,11,80,63,24,18
15,73,65,55,20,22,21,30,43,21,64,86,40
16,1,46,91,26,23,91,37,53,8,52,28,26
17,32,38,65,9,73,6,93,55,6,15,28,14
18,71,10,68,55,35,29,54,70,80,67,89,45
19,26,64,53,66,82,49,22,33,51,8,85,84
20,79,14,78,32,23,49,46,70,61,54,6,47
21,32,3,45,38,70,5,31,41,52,86,69,81
22,81,86,76,64,3,95,54,90,77,16,49,10
23,39,56,67,72,19,74,93,63,98,68,12,70
24,34,82,19,42,9,19,14,41,53,36,31,74
25,69,47,46,99,7,25,36,96,17,6,89,90
26,61,70,4,12,85,65,39,22,80,17,39,52
27,69,16,18,33,16,6,98,66,93,26,58,64
28,27,XX,74,58,25,95,45,63,78,56,2,95
29,79,XX,44,31,68,74,91,46,11,17,30,77
30,17,XX,19,XX,94,XX,68,43,XX,60,XX,6
