2007,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
2,16,88,42,17,62,51,24,64,69,13,82,60
3,73,73,88,67,6,42,24,0,44,48,86,5
4,97,95,87,10,93,49,71,67,34,69,69,86
5,61,68,58,58,4,53,0,22,7,17,26,13
6,45,55,87,38,39,7,22,9,7,75,1,81
7,32,71,95,26,53,18,40,71,66,93,19,98
8,13,31,88,6,27,27,64,33,52,5,2,37
9,92,95,60,84,44,88,50,44,66,85,46,28
10,30,29,80,99,18,30,70,76,29,23,34,29
11,49,47,51,7,83,86,32,61,60,45,68,73
12,30,96,88,97,15,92,1,58,46,8,78,27
13,49,61,18,29,44,92,68,57,19,54,75,97
14,36,29,77,69,93,30,80,45,33,28,47,27
15,88,32,22,40,50,43,24,39,46,96,95,10
16,75,53,89,87,99,83,78,19,45,81,62,86
17,18,63,54,89,26,85,51,37,21,44,70,74
18,52,49,65,27,4,34,48,43,26,76,10,97
19,28,0,26,11,16,25,21,49,85,83,92,59
20,13,23,68,29,87,49,87,89,69,71,16,46
21,73,92,36,23,87,39,22,16,19,82,40,27
22,11,56,46,38,67,2,78,65,13,33,73,40
23,91,15,81,38,39,23,8,1,95,24,32,63
24,43,96,22,35,67,44,5,30,65,71,43,80
25,71,36,5,31,57,57,67,78,8,33,23,69
26,61,20,80,34,47,84,27,31,33,28,41,20
27,44,91,22,16,4,38,0,70,68,62,83,23
28,40,43,24,6,81,69,84,18,9,88,91,99
29,3,##,53,23,4,51,65,39,84,99,53,24
30,18,##,81,70,49,75,65,13,81,55,19,51
31,60,##,67,##,98,##,21,41,##,98,##,41
