2002,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,7,29,95,38,35,74,65,6,45,29,8,19
2,62,77,14,12,65,2,43,1,69,0,32,50
3,7,84,95,9,38,90,12,94,60,62,23,65
4,27,66,82,33,21,93,45,45,77,30,75,61
5,24,86,99,77,2,48,62,92,19,93,54,19
6,64,42,45,50,70,40,25,97,3,44,31,85
7,30,41,17,44,6,45,8,69,81,27,52,28
8,5,99,66,49,98,79,48,97,14,66,49,57
9,68,53,41,71,6,46,27,46,88,17,3,82
10,58,85,62,53,95,46,40,81,46,57,59,88
11,51,73,58,23,15,40,10,20,16,44,54,97
12,18,23,94,38,93,34,94,92,42,34,79,33
13,59,93,82,89,2,1,24,40,52,26,33,79
14,38,17,79,5,61,41,95,12,4,48,57,73
15,36,36,61,9,88,29,60,73,34,80,76,78
16,59,30,43,33,86,29,53,27,14,65,92,12
17,63,0,71,97,28,80,54,88,57,92,93,29
18,89,73,81,31,2,61,58,12,42,5,71,66
19,21,90,17,67,49,16,52,53,4,82,38,43
20,76,59,92,36,66,58,70,78,79,92,77,56
21,1,25,27,23,89,81,42,37,48,67,90,0
22,27,0,75,16,48,81,28,99,4,94,47,51
23,86,59,61,87,68,27,11,52,29,11,11,65
24,20,43,9,45,14,49,59,8,62,97,37,85
25,86,44,65,53,44,84,38,69,82,70,59,56
26,49,65,67,4,18,35,41,68,60,25,30,65
27,4,20,38,24,66,35,67,80,69,61,29,94
28,85,XX,92,0,25,43,91,58,87,41,91,59
29,79,XX,44,31,68,74,91,46,11,17,30,77
30,17,XX,19,XX,94,XX,68,43,XX,60,XX,6
