2001,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,67,28,94,14,59,39,75,33,39,79,63,96
2,71,63,96,24,67,0,6,26,33,76,52,26
3,10,61,70,10,6,55,96,77,73,71,60,34
4,62,96,85,33,29,89,69,62,46,8,79,38
5,51,90,56,78,58,69,95,40,76,73,69,39
6,69,17,4,43,49,11,19,20,26,38,56,68
7,31,74,69,46,55,97,75,80,75,14,27,7
8,83,1,15,88,54,47,6,32,22,41,91,89
9,21,67,37,63,11,94,82,74,0,64,21,80
10,81,84,41,32,42,43,35,0,76,42,65,23
11,45,75,70,37,18,57,90,86,65,98,71,90
12,42,99,74,67,7,78,39,84,98,16,35,89
13,6,50,12,57,23,58,23,16,53,54,61,24
14,63,62,91,30,2,47,96,98,33,94,98,82
15,45,62,32,80,81,21,11,74,22,89,64,25
16,63,81,4,69,3,53,8,69,78,96,51,42
17,87,67,98,84,63,49,43,34,27,78,98,53
18,45,64,24,93,17,23,37,3,8,55,60,14
19,4,51,58,31,27,63,44,16,4,92,62,60
20,23,91,24,88,90,0,34,24,71,51,71,23
21,66,15,55,92,81,87,41,9,82,69,60,61
22,85,80,8,58,53,18,15,71,58,18,74,74
23,16,17,52,20,31,43,87,15,66,41,50,93
24,56,97,35,29,99,81,1,69,73,21,28,47
25,99,90,48,97,22,76,48,40,31,6,77,84
26,89,31,8,97,39,11,14,71,23,46,51,60
27,67,23,30,59,47,44,33,75,70,85,1,36
28,26,XX,52,27,18,93,1,41,2,73,93,18
29,61,XX,41,58,3,80,28,84,82,7,50,16
30,1,XX,89,XX,75,XX,89,91,XX,12,XX,52
