2010,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,76,41,43,60,17,77,83,49,32,21,64,90
2,58,36,71,25,57,98,95,73,74,66,27,49
3,97,56,84,69,3,13,77,2,0,4,79,27
4,29,91,31,13,25,15,66,65,72,95,97,8
5,12,44,69,47,86,9,34,63,67,4,73,21
6,65,98,49,37,25,25,15,60,30,92,64,86
7,38,82,10,13,86,8,92,43,14,95,48,85
8,5,65,29,36,3,0,55,82,6,45,72,43
9,48,1,40,18,80,34,61,66,58,25,39,65
10,49,76,55,1,59,80,9,61,18,91,80,73
11,91,31,74,4,66,8,38,0,20,85,42,37
12,72,32,60,38,50,87,89,95,60,33,84,17
13,18,11,26,83,21,71,33,66,76,11,84,16
14,94,36,56,28,68,79,48,91,46,45,62,82
15,79,25,57,93,31,37,0,66,13,41,95,34
16,73,63,93,41,90,55,12,76,28,48,95,13
17,4,66,63,98,8,97,87,40,96,97,39,91
18,0,83,84,18,62,58,62,65,67,84,96,6
19,46,69,29,84,53,35,33,58,57,60,75,17
20,68,55,87,9,69,17,34,22,94,39,15,91
21,2,67,29,79,96,36,9,95,33,46,49,13
22,61,63,80,59,43,43,14,42,83,86,2,71
23,20,35,50,49,67,92,92,36,82,45,45,20
24,42,32,47,35,98,21,96,42,78,21,12,26
25,7,49,76,5,56,93,18,77,56,88,71,64
26,92,90,56,17,58,30,46,26,5,48,7,28
27,29,66,80,23,63,11,78,61,2,22,81,37
28,92,XX,90,94,40,92,27,26,72,41,75,99
29,56,XX,85,89,58,51,34,82,85,94,39,84
30,7,XX,47,XX,1,XX,50,34,XX,20,XX,5
