2005,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,55,36,68,98,8,98,50,15,73,70,39,59
2,84,44,1,42,30,16,4,4,53,57,80,53
3,99,53,31,88,60,26,73,2,72,60,64,31
4,33,92,50,43,51,58,68,19,76,19,82,22
5,19,17,44,20,48,48,3,91,30,26,44,91
6,86,30,46,22,0,92,87,14,68,44,50,79
7,67,98,24,92,6,24,98,61,3,22,63,96
8,70,20,43,60,38,16,39,15,51,36,16,85
9,39,95,46,47,4,70,91,53,67,33,33,38
10,33,79,43,70,97,26,26,4,76,14,88,97
11,91,77,16,53,96,65,93,4,3,14,58,22
12,0,76,72,17,73,29,75,23,93,54,30,94
13,60,72,29,53,57,96,95,56,67,94,9,10
14,68,13,62,12,53,56,92,94,82,62,57,91
15,94,37,6,90,33,38,31,30,71,42,48,70
16,79,61,43,27,1,20,62,85,87,95,62,67
17,44,16,18,6,75,32,41,59,87,48,26,61
18,92,47,29,8,8,96,2,58,19,54,35,8
19,19,31,15,84,72,56,32,41,31,18,64,56
20,94,56,72,85,46,90,98,97,27,64,59,62
21,80,34,32,76,17,51,72,56,82,7,14,67
22,94,97,88,2,11,46,19,21,39,24,88,38
23,86,40,96,47,49,57,78,94,28,43,58,62
24,91,1,83,22,18,27,68,89,57,80,66,11
25,76,82,10,82,49,38,64,50,1,22,14,86
26,95,70,90,37,40,63,54,57,46,73,18,21
27,11,19,84,42,99,43,34,21,82,80,25,55
28,16,XX,64,67,45,70,75,78,50,70,84,97
29,36,XX,31,26,11,24,81,75,22,28,4,52
30,85,XX,43,XX,64,XX,59,10,XX,81,XX,84
