2009,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
2,33,29,31,62,0,79,85,79,48,14,26,73
3,20,20,86,97,30,28,82,14,90,8,38,71
4,75,28,60,64,0,48,35,73,20,94,41,61
5,3,24,92,0,84,2,15,89,68,30,28,32
6,45,17,91,93,22,3,66,39,82,15,80,62
7,3,61,22,9,72,84,30,64,70,19,14,89
8,26,99,37,78,79,59,89,93,12,48,52,61
9,51,37,23,93,21,48,33,78,56,99,4,14
10,22,87,97,43,81,59,71,19,71,78,70,77
11,70,91,26,60,45,0,98,81,28,4,80,71
12,17,7,92,85,50,54,90,46,72,68,17,65
13,48,75,56,89,94,33,92,12,19,12,73,7
14,41,47,80,75,48,59,65,46,71,74,53,74
15,39,12,20,86,38,52,78,24,45,15,79,64
16,8,16,85,9,34,66,76,21,3,98,77,25
17,77,45,32,64,23,94,62,23,68,51,44,24
18,4,38,3,25,68,22,40,72,56,76,53,44
19,86,2,17,7,37,56,93,62,28,70,67,61
20,54,49,97,67,38,64,30,51,59,47,79,31
21,92,21,50,78,44,65,25,53,75,45,1,48
22,81,82,8,64,28,96,74,78,67,68,57,37
23,42,67,91,91,44,58,80,93,45,63,6,94
24,32,62,73,52,60,14,4,73,11,8,10,53
25,14,55,6,21,52,59,57,50,90,47,23,61
26,81,40,32,79,18,32,99,91,35,6,82,41
27,25,85,61,31,60,22,22,59,31,36,36,45
28,51,17,46,9,30,82,44,15,57,1,19,71
29,75,##,61,24,34,33,51,47,0,3,70,4
30,63,##,37,40,77,46,77,38,61,93,82,31
31,73,##,65,##,56,##,14,43,##,14,##,57
