2011,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,37,13,18,99,53,17,97,73,73,52,80,54
2,90,53,11,13,99,66,59,61,32,67,23,22
3,91,51,58,52,98,37,40,50,32,7,72,53
4,45,10,52,21,21,97,27,29,78,92,60,18
5,80,78,39,69,85,1,80,23,34,4,2,87
6,47,33,74,7,56,98,4,57,84,50,71,5
7,78,86,43,6,29,24,31,45,31,47,42,19
8,82,76,43,41,81,1,70,52,19,83,52,7
9,74,17,22,76,23,73,15,96,75,6,27,14
10,97,47,13,95,1,85,70,67,94,12,42,1
11,69,30,99,65,9,83,24,47,26,16,87,97
12,69,17,39,26,79,9,30,91,98,40,93,37
13,15,78,20,23,75,4,97,61,14,30,27,84
14,86,30,77,4,33,64,88,74,94,38,67,6
15,8,90,9,32,19,64,25,67,26,29,85,51
16,98,36,69,27,9,34,82,98,15,90,99,18
17,48,57,1,45,41,14,55,78,61,24,74,35
18,6,86,89,29,33,55,66,2,51,79,60,78
19,13,32,72,4,87,62,53,74,79,54,47,95
20,83,57,63,72,27,7,55,61,76,26,8,45
21,83,40,61,68,74,20,53,24,87,18,85,81
22,63,56,70,6,82,68,95,82,94,74,48,34
23,55,97,83,50,74,91,20,16,12,89,64,93
24,57,81,76,53,81,82,64,30,59,60,10,99
25,28,22,56,96,71,51,45,34,59,16,84,23
26,90,74,72,42,1,51,31,96,58,92,45,85
27,5,42,12,69,45,89,33,19,83,97,23,10
28,39,XX,32,58,8,68,21,73,98,93,63,49
29,68,XX,65,13,52,61,23,90,46,72,66,62
30,29,XX,70,XX,49,XX,74,33,XX,27,XX,2
