2018,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX
2,55,42,71,33,93,40,29,57,0,80,6,46
3,98,65,70,47,10,99,22,66,71,95,25,74
4,15,82,93,10,1,21,1,63,67,35,66,4
5,31,95,89,18,27,82,5,43,27,34,68,12
6,90,64,84,50,8,66,63,10,67,31,7,21
7,27,18,76,4,72,62,56,46,87,58,4,62
8,91,33,44,83,1,58,86,2,21,49,46,35
9,44,46,98,8,42,93,65,30,55,27,37,59
10,91,72,49,73,61,57,2,53,71,69,64,24
11,76,73,40,35,42,91,81,60,31,43,6,92
12,91,62,92,99,31,68,99,87,14,0,3,34
13,65,12,27,4,36,93,43,37,29,4,86,81
14,25,68,7,95,34,32,59,26,46,32,54,24
15,21,99,3,22,17,23,16,30,29,99,53,1
16,2,61,96,89,40,35,68,87,37,38,65,50
17,67,46,43,22,37,74,11,14,96,82,86,16
18,53,48,24,19,18,84,86,55,83,61,80,89
19,26,84,47,58,80,91,36,21,14,29,9,16
20,58,55,18,56,27,72,82,46,48,55,97,95
21,1,61,17,92,32,57,84,54,29,83,53,30
22,97,90,72,65,60,37,42,57,81,17,52,80
23,46,82,33,50,89,8,13,17,33,63,11,16
24,30,18,59,28,27,93,16,52,47,18,54,81
25,58,49,67,91,43,13,87,47,80,87,62,59
26,12,98,56,23,73,55,43,12,69,7,96,26
27,56,41,15,28,85,43,4,23,30,81,64,25
28,93,59,59,35,7,8,66,11,25,90,99,45
29,82,XX,36,0,62,87,9,49,9,17,24,38
30,42,XX,49,89,60,74,6,73,13,96,65,70
31,62,XX,14,XX,91,XX,83,83,XX,22,XX,32
