2015,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,93,67,29,99,53,89,61,61,96,28,3,13
2,28,40,8,68,14,74,49,92,72,71,24,51
3,78,81,13,98,3,15,31,54,28,41,95,61
4,24,81,77,61,88,0,58,99,31,35,70,61
5,12,51,21,77,91,80,55,35,72,25,6,71
6,93,98,6,76,40,69,24,92,75,81,62,46
7,68,12,4,2,53,67,91,98,83,48,100,74
8,94,57,16,62,73,41,7,79,68,2,42,86
9,24,47,37,54,95,31,96,84,64,41,62,73
10,83,75,66,34,45,14,44,28,14,18,19,17
11,30,49,68,95,73,30,32,100,66,9,43,46
12,40,97,11,52,73,77,47,53,55,2,19,24
13,49,51,46,93,82,32,64,19,6,32,67,17
14,43,54,51,8,89,24,99,12,79,6,28,73
15,42,38,49,66,53,60,80,35,18,74,0,54
16,57,6,62,78,87,23,14,57,29,61,19,50
17,67,54,71,55,23,95,92,38,69,12,79,44
18,50,94,6,63,43,49,40,37,30,54,58,84
19,87,66,97,11,90,91,70,18,3,96,80,74
20,17,3,71,70,90,92,60,77,37,64,49,58
21,75,80,45,69,50,30,74,31,5,45,7,4
22,4,87,31,21,69,9,97,99,29,43,61,33
23,62,93,87,52,77,83,72,36,36,69,50,92
24,15,39,73,19,84,14,53,53,81,68,97,28
25,8,47,86,75,35,51,53,62,89,49,35,77
26,57,63,84,49,6,18,2,13,89,76,43,4
27,38,30,11,96,29,89,100,17,36,42,80,84
28,35,XX,62,7,88,31,32,95,83,9,73,19
29,42,XX,86,5,24,15,87,59,43,24,6,59
30,74,XX,XX,XX,24,XX,XX,2,XX,81,XX,73
31,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX,XX
